ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck83f2wgmt6130813db2rdfi8,ck8393qjcb6y40go62a3favrl,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2F1d540885-8938-7da2-e619-602aa831b8e4-img_59.jpg?Expires=1587239108990&KeyName=labelbox-assets-key-1&Signature=aaLxL6VP1orMgq6wnLQvLXPDnoo,"{""objects"":[{""featureId"":""ck83f2t7n12gt0zc9e68hc30h"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck83f2t7n12gt0zc9e68hc30h?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584904269000,1585442065000,168.902,img_59.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83f2wgmt6130813db2rdfi8
ck83f3kdog4s40758hemyc96o,ck8393qjfb71o0go6aufce37o,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2F6b878f7b-b516-817b-cc89-b7e2cbac6622-img_422.jpg?Expires=1587239109001&KeyName=labelbox-assets-key-1&Signature=IXgk0psy4vEm2v83DQbTaj_jNfo,"{""objects"":[{""featureId"":""ck83f3i2u08910y9eunl7d20p"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck83f3i2u08910y9eunl7d20p?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584904300000,1584904300000,30.406,img_422.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83f3kdog4s40758hemyc96o
ck83f4hxzljxe0826twxkkasz,ck8393qjrb7580go6dqu235b6,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2Fba31e086-e6e6-c8c7-d166-c9ee7ddfe30d-img_804.jpg?Expires=1587239109002&KeyName=labelbox-assets-key-1&Signature=ZN-6tQxd4kJanX-NaBr3rI5Sfcg,"{""objects"":[{""featureId"":""ck83f4gei1rnk109b5k5fidl3"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck83f4gei1rnk109b5k5fidl3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584904343000,1585441565000,81.726,img_804.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83f4hxzljxe0826twxkkasz
ck83f5n09sp7h0863qz5qxk9z,ck8393qjcb6yg0go6aip26egl,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2Fe55f12e3-165a-698f-fe72-19bf788c3108-img_62.jpg?Expires=1587239109003&KeyName=labelbox-assets-key-1&Signature=DYX6KPsg3CFZtLxu5_RkHIR3b84,"{""objects"":[{""featureId"":""ck83f5lj908bh0y9eax726h1u"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck83f5lj908bh0y9eax726h1u?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584904396000,1585441572000,64.515,img_62.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83f5n09sp7h0863qz5qxk9z
ck83f63yxt7130813aqyxaq9m,ck8393qjfb7200go60r7q74yz,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2F38645eb2-2361-52fd-e340-ab3514c35e35-img_425.jpg?Expires=1587239109003&KeyName=labelbox-assets-key-1&Signature=KisaXcuJx0iOu6KoRGaCzLaUjvw,"{""objects"":[{""featureId"":""ck83f625c1rpj109bj4dnxclq"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck83f625c1rpj109bj4dnxclq?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584904418000,1585441576000,22.568,img_425.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83f63yxt7130813aqyxaq9m
ck83f7cw6spqh0863c4soufap,ck8393qjsb75k0go61jnug7l9,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2F66dfc8be-3486-ff05-8a94-d1d5d8c40c03-img_807.jpg?Expires=1587239109004&KeyName=labelbox-assets-key-1&Signature=EPJLseaIeveXVuOvMcc0tj50Ce8,"{""objects"":[{""featureId"":""ck83f7bpx12lp0zc99f094opx"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck83f7bpx12lp0zc99f094opx?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584904477000,1585441613000,108.886,img_807.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83f7cw6spqh0863c4soufap
ck83itvsztp8z0863zx9db3td,ck8393qjgb7300go63i749hse,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2Ffcc6f40f-ec1e-b0eb-0f95-8130a1578d0f-img_434.jpg?Expires=1587239109005&KeyName=labelbox-assets-key-1&Signature=ZcRVmCliJO14BhYd4dyVieW5JG4,"{""objects"":[{""featureId"":""ck8acvotk049d0zcdftbc5aki"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck8acvotk049d0zcdftbc5aki?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584910566000,1585323838000,27.287,img_434.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83itvsztp8z0863zx9db3td
ck83itwzih5ix0758x392l079,ck8393qjsb76k0go64rha13s2,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2F85b5cb48-ff03-0f20-d678-351705f47e51-img_816.jpg?Expires=1587239109006&KeyName=labelbox-assets-key-1&Signature=R2ZX9VYn6vEl0bwWo_BYxxScXjQ,"{""objects"":[{""featureId"":""ck8acxet72u0v0yatyjdj73z1"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck8acxet72u0v0yatyjdj73z1?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584910568000,1585439996000,79.434,img_816.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83itwzih5ix0758x392l079
ck83iu1ydtpb108630eog8pjk,ck8393qjsb76w0go69vbu4478,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2F8b23d9cd-bb9e-707b-10ea-0729cad96309-img_819.jpg?Expires=1587239109006&KeyName=labelbox-assets-key-1&Signature=_yoNySy5pXAHjHJXgGiOGpHDspE,"{""objects"":[{""featureId"":""ck8aclcvu03th0zcd3q7xd9tv"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck8aclcvu03th0zcd3q7xd9tv?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584910574000,1585440000000,98.252,img_819.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83iu1ydtpb108630eog8pjk
ck83iu4ejzmtp09810zim6ny2,ck8393qjeb7040go6a8x55efb,https://storage.labelbox.com/ck800f0qaddl20863e76cztgr%2F8b6401c7-3ede-8587-571d-d8a4c164bac8-img_77.jpg?Expires=1587239109007&KeyName=labelbox-assets-key-1&Signature=xJ_1ZaGwmZXPhiT4TAehGBJUgXc,"{""objects"":[{""featureId"":""ck8acua1o04740zcdu03valdw"",""schemaId"":""ck801cxbcppsi0874zd10k2ib"",""title"":""Smoke"",""value"":""smoke"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/ck8acua1o04740zcdu03valdw?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazgwMGYwcXR3MTVwMDk0Mml1cnpkeW9pIiwib3JnYW5pemF0aW9uSWQiOiJjazgwMGYwcWFkZGwyMDg2M2U3NmN6dGdyIiwiaWF0IjoxNTg2MDI5NTA4LCJleHAiOjE1ODg2MjE1MDh9.65FhQanrKOhPbKQ2eWRwQLX2HhO3d614V-5WWjg0tX4""}],""classifications"":[]}",,Smoke Detection,1584910578000,1585440005000,49.646,img_77.jpg,-1,-1,,,smoke,[],https://editor.labelbox.com?project=ck800i5mr0y5t0758gvrlld34&label=ck83iu4ejzmtp09810zim6ny2
